,title,description,season,episod,rating,vote,date
184, The One with the Birthing Video,"During Valentine's Day, Chandler discovers the miracle of birth seeing an extremely graphic video. Ross hides from Mona that Rachel is now living with him. Phoebe tries to help with Joey's depression caused by his feelings for Rachel.",S8,E15,"8,2","4,4 k","jeu., 7 févr. 2002"
185, The One Where Joey Tells Rachel,Ross freaks out when Joey tells him that he is in love with Rachel because Ross is afraid that they will get married and raise his kid together.,S8,E16,"8,1","4,5 k","jeu., 28 févr. 2002"
186, The One with the Tea Leaves,"Chandler and Monica are happy together - their worst problem is his habit to put CDs in the wrong box and their different taste in music. Rachel is desperate to get back on good terms with Joey, so she takes Monica's advice.",S8,E17,"7,9","4,4 k","jeu., 7 mars 2002"
187, The One in Massapequa,Everyone prepares for the Gellers' 35th wedding anniversary in Long Island; Monica struggles to prepare the perfect toast; Phoebe invites her new boyfriend Parker.,S8,E18,"8,0","4,4 k","jeu., 28 mars 2002"
188, The One with Joey's Interview,"Joey prepares for his epic interview with Soap Opera Digest, reminiscing about his past acting experiences, his friends and his romantic life.",S8,E19,"7,2","4,6 k","jeu., 4 avr. 2002"
189, The One with the Baby Shower,Monica and Phoebe throw Rachel a baby shower but forget to invite Rachel's mom. Rachel realizes she has no idea how to look after the baby. Joey auditions for a job as a host for a new game show. Chandler and Ross help him practice.,S8,E20,"8,1","4,4 k","jeu., 25 avr. 2002"
190, The One with the Cooking Class,"Monica's restaurant get a bad review. After confronting the critic who wrote it, she decides to join a cooking class, with Joey in tow. Rachel gets jealous when Ross hits it off with a woman at the baby department store.",S8,E21,"8,0","4,4 k","jeu., 2 mai 2002"
191, The One Where Rachel Is Late,Monica and Phoebe bet on when Rachel's baby will be born as the due date comes and goes as Rachel becomes extremely irritable; Chandler falls asleep at Joey's big movie premiere.,S8,E22,"8,2","4,4 k","jeu., 9 mai 2002"
192, The One Where Rachel Has a Baby: Part 1,"Ross and Rachel go to the hospital to have their baby, but it's a long labor. They get stuck in a semi-private room, and many other couples come and go before Rachel is ready to deliver - the last couple being Janice and her new husband.",S8,E23,"8,7","4,8 k","jeu., 16 mai 2002"
193, The One Where Rachel Has a Baby: Part 2,"After Rachel gives birth to her baby, she must confront relationship issues around her.",S8,E24,"8,8","5,1 k","jeu., 16 mai 2002"
194, The One Where No One Proposes,"Rachel, Ross and Joey get together and figure out that no one was actually going to propose; Mr. Geller walks in on Monica and Chandler having sex.",S9,E1,"8,5","4,8 k","jeu., 26 sept. 2002"
195, The One Where Emma Cries,"Chandler, having trouble getting enough sleep at home, falls asleep in a meeting and accidentally agrees to run his company's Tulsa office.",S9,E2,"8,4","4,8 k","jeu., 3 oct. 2002"
196, The One with the Pediatrician,"Joey arranges a blind date for Phoebe. Chandler is leaving for Tulsa without Monica, because she has got a great job offer.",S9,E3,"8,1","4,5 k","jeu., 10 oct. 2002"
197, The One with the Sharks,Monica thinks that Chandler is sexually attracted to sea life after he switches the station from porn to a shark documentary to conceal his sordid viewing.,S9,E4,"8,0","4,5 k","jeu., 17 oct. 2002"
198, The One with Phoebe's Birthday Dinner,"Phoebe will celebrate her birthday by having a dinner with her friends at a fancy restaurant. But everybody is late to the dinner, due to a series of problems.",S9,E5,"8,3","4,6 k","jeu., 31 oct. 2002"
199, The One with the Male Nanny,"Looking for a new nanny, Ross and Rachel hire a male nanny named Sandy. Monica tells Chandler that a guy at work is the funniest guy she has ever met.",S9,E6,"8,2","4,8 k","jeu., 7 nov. 2002"
200, The One with Ross's Inappropriate Song,"Ross finds a way to make Emma laugh - singing ""Baby Got Back."" Meanwhile, Phoebe meets Mike's parents, and Joey and Chandler find a video tape in Richard's apartment.",S9,E7,"8,5","4,8 k","jeu., 14 nov. 2002"
201, The One with Rachel's Other Sister,Rachel's middle sister shows up at Thanksgiving and causes arguments amongst the gang.,S9,E8,"8,7","5,4 k","jeu., 21 nov. 2002"
202, The One with Rachel's Phone Number,"Rachel is ready to start hanging out again. She and Phoebe go to a bar, where they meet two guys.",S9,E9,"8,0","4,4 k","jeu., 5 déc. 2002"
203, The One with Christmas in Tulsa,"Chandler must spend Christmas in Tulsa, which Monica thinks he might have an affair with a former Miss Oklahoma runner-up while he is there. Chandler comes home early to announce that he quit his job.",S9,E10,"7,2","4,6 k","jeu., 12 déc. 2002"
204, The One Where Rachel Goes Back to Work,"Chandler starts looking for a job and is anxious about having a baby, Rachel decides to go back to work, and Phoebe works as an extra on Joey's show.",S9,E11,"7,8","4,3 k","jeu., 9 janv. 2003"
205, The One with Phoebe's Rats,Ross makes Joey stay away from their new nanny. Mike accidentally kills Phoebe's rat. Gavin gives Rachel a scarf and a kiss for her birthday.,S9,E12,"7,7","4,4 k","jeu., 16 janv. 2003"
206, The One Where Monica Sings,A night at Mike's piano bar gives Monica a very showy moment in the spotlight; Chandler employs his secret skill to repair Joey's botched eyebrow-waxing job.,S9,E13,"8,0","4,4 k","jeu., 30 janv. 2003"
207, The One with the Blind Dates,Phoebe and Joey purposely set Ross and Rachel up on bad dates in the hopes they'll get back together. Monica and Chandler babysit Emma.,S9,E14,"8,0","4,3 k","jeu., 6 févr. 2003"
208, The One with the Mugging,"Joey gets a part in a stage-play in a painful way. Ross and Phoebe are mugged outside Central Perk, Phoebe realizes that she mugged Ross 18 years ago. Chandler starts his new career as an advertising writer.",S9,E15,"8,1","4,3 k","jeu., 13 févr. 2003"
209, The One with the Boob Job,"When Monica and Chandler both ask Joey for money not wanting the other to know why they are asking for it, Chandler sees that Joey gave money to Monica. Joey makes up that Monica is getting a boob job.",S9,E16,"8,0","4,2 k","jeu., 20 févr. 2003"
210, The One with the Memorial Service,"When Chandler and Ross joke around on their college website, Ross is accused of being dead which leads to the fact that he was not popular in college.",S9,E17,"8,3","4,4 k","jeu., 13 mars 2003"
211, The One with the Lottery,"Hoping to win a huge jackpot, the friends pool their money and buy dozens of lottery tickets. However, they bicker over how to spend the fortune if they win, and Monica irritates everyone else by buying tickets just for her and Chandler.",S9,E18,"8,5","4,6 k","jeu., 3 avr. 2003"
212, The One with Rachel's Dream,"Nervous about his upcoming romantic scenes, Joey rehearses them with Rachel. Ross & Chandler get their money's worth on their weekend trip to Vermont while Phoebe takes advantage of Monica's clientele.",S9,E19,"7,9","4,3 k","jeu., 17 avr. 2003"
213, The One with the Soap Opera Party,Joey throws a cast party on the roof of his building where he ends up making out with an attractive professor that Ross had a crush on.,S9,E20,"8,1","4,3 k","jeu., 24 avr. 2003"
214, The One with the Fertility Test,Joey comes to Ross for advice on dating Charlie. Chandler and Monica bump into Janice at a fertility clinic. Rachel has a gift certificate for a massage which Phoebe doesn't want her to use.,S9,E21,"8,1","4,2 k","jeu., 1 mai 2003"
215, The One with the Donor,Rachel take Joey's girlfriend Charlie and Phoebe shopping. Ross presents his theory to get a chance to go a conference in Barbados. Monica and Chandler consider alternate pregnancy options.,S9,E22,"7,6","4,3 k","jeu., 8 mai 2003"
216, The One in Barbados,The gang heads down to Barbados for the palaeontology conference.,S9,E23,"8,5",5 k,"jeu., 15 mai 2003"
217, The One After Joey and Rachel Kiss,Joey and Ross both attempt to come clean to each other that they're dating Rachel and Charlie. Phoebe finds out Mike has another girlfriend.,S10,E1,"8,4","5,1 k","jeu., 25 sept. 2003"
218, The One Where Ross Is Fine,Rachel and Joey fear for Ross's state of mind after he finds out about their relationship. Chandler and Monica visit some friends of Phoebe to get advice on adoption. Frank and the triplets come to visit.,S10,E2,"8,7","5,5 k","jeu., 2 oct. 2003"
219, The One with Ross's Tan,Ross goes to a tanning salon but fails to follow the 'simple' instructions. Joey and Rachel struggle to make the transition from friends to lovers. Monica and Phoebe try to avoid an annoying woman that used to live in their building.,S10,E3,"8,6","5,3 k","jeu., 9 oct. 2003"
220, The One with the Cake,"On Emma's first birthday, Ross and Rachel convince everyone to delay their plans so they can attend her party, however plans go awry when Emma's birthday cake is revealed.",S10,E4,"8,2","4,6 k","jeu., 23 oct. 2003"
221, The One Where Rachel's Sister Babysits,Rachel's sister Amy comes to visit and moves in with her and Joey. Phoebe constantly and accidentally ruins Mike's proposals. Joey struggles to write a letter of recommendation for Monica and Chandler's adoption agency.,S10,E5,"8,0","4,6 k","jeu., 30 oct. 2003"
222, The One with Ross' Grant,Ross applies for a paleontology grant and finds out Charlie's ex-boyfriend reviews the applications. Monica and Rachel fight over who has to take Phoebe's ugly painting.,S10,E6,"8,0","4,6 k","jeu., 6 nov. 2003"
223, The One with the Home Study,Monica and Chandler nervously prepare for a visit from an adoption worker. Phoebe and Mike keep changing their minds about donating their wedding money to charity. Ross fights Rachel's fear of swings.,S10,E7,"8,1","4,5 k","jeu., 13 nov. 2003"
224, The One with the Late Thanksgiving,"Joey, Ross, Rachel and Phoebe convince Monica and Chandler to host Thanksgiving, however the four of them end up arriving to dinner an hour late.",S10,E8,"8,8","5,3 k","jeu., 20 nov. 2003"
225, The One with the Birth Mother,"Nervous and excited, Monica and Chandler travel to Ohio to meet a young pregnant woman, Erica Simmons, who is considering allowing them to adopt her child when it's born.",S10,E9,"8,4","4,7 k","jeu., 8 janv. 2004"
226, The One Where Chandler Gets Caught,Monica & Chandler look at real estate outside the city which leads to the rest of the gang reminiscing on all their memories of the apartment.,S10,E10,"7,8","4,5 k","jeu., 15 janv. 2004"
227, The One Where the Stripper Cries,Old secrets come to light when Ross and Chandler attend a college reunion. Monica and Rachel throw Phoebe a bachelorette party. Joey appears as a celebrity partner on a game show.,S10,E11,"8,9","5,9 k","jeu., 5 févr. 2004"
228, The One with Phoebe's Wedding,Chaos ensues as Phoebe and Mike prepare to get married.,S10,E12,"8,8","5,2 k","jeu., 12 févr. 2004"
229, The One Where Joey Speaks French,Phoebe tries to teach Joey to speak French for an audition; Ross and Rachel head out to Long Island after her dad has a heart attack.,S10,E13,"8,3",5 k,"jeu., 19 févr. 2004"
230, The One with Princess Consuela,Phoebe ponders whether or not to changer her name. Monica & Chandler take Joey to visit the new house. Ross & Rachel set their eyes on their career profession.,S10,E14,"8,4","4,8 k","jeu., 26 févr. 2004"
231, The One Where Estelle Dies,"Ross tries to get Rachel to go back to Ralph Lauren, Joey doesn't know that his agent has died, and Monica and Chandler bump into Janice.",S10,E15,"8,4","4,5 k","jeu., 22 avr. 2004"
232, The One with Rachel's Going Away Party,"The gang throws Rachel a goodbye party, during which she says goodbye to everybody individually.",S10,E16,"8,8","5,2 k","jeu., 29 avr. 2004"
233, The Last One,"Phoebe races Ross to the airport in a bid to stop Rachel from leaving for Paris. Monica and Chandler pack up their apartment ahead of their move to their new house, and Joey buys Chandler a new chick and duck as a leaving present.",S10,E17,"9,6",17 k,"jeu., 6 mai 2004"
