,title,description,season,episod,rating,vote,date
92, The One with All the Wedding Dresses,"Monica tries on Emily's wedding dress, and can't stop wearing it. Jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring.",S4,E20,"8,4","5,1 k","jeu., 16 avr. 1998"
93, The One with the Invitation,"As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life.",S4,E21,"6,9","5,5 k","jeu., 23 avr. 1998"
94, The One with the Worst Best Man Ever,"At first Ross chooses Joey to be his best man but after a mishap at his bachelor party, he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous.",S4,E22,"8,3",5 k,"jeu., 30 avr. 1998"
95, The One with Ross's Wedding: Part 1,Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding.,S4,E23,"8,6","5,4 k","jeu., 7 mai 1998"
96, The One with Ross's Wedding: Part 2,Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.,S4,E24,"9,1","6,8 k","jeu., 7 mai 1998"
97, The One After Ross Says Rachel,"A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together.",S5,E1,"8,8","5,8 k","jeu., 24 sept. 1998"
98, The One with All the Kissing,Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.,S5,E2,"8,9","5,9 k","jeu., 1 oct. 1998"
99, The One Hundredth,"The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones.",S5,E3,"8,7","5,5 k","mer., 24 mars 1999"
100, The One Where Phoebe Hates PBS,Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.,S5,E4,"8,1","4,9 k","dim., 18 oct. 1998"
101, The One with the Kips,Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.,S5,E5,"8,6","5,3 k","jeu., 29 oct. 1998"
102, The One with the Yeti,The gang become frustrated with Emily's demands. Monica and Rachel mistake their new neighbour for a yeti. Phoebe inherits a fur coat.,S5,E6,"7,8","4,9 k","jeu., 5 nov. 1998"
103, The One Where Ross Moves In,Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.,S5,E7,"8,2","4,9 k","jeu., 12 nov. 1998"
104, The One with All the Thanksgivings,The gang remember and share with each other their worst Thanksgivings.,S5,E8,"9,0","6,7 k","jeu., 19 nov. 1998"
105, The One with Ross's Sandwich,Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.,S5,E9,"9,0","6,2 k","jeu., 10 déc. 1998"
106, The One with the Inappropriate Sister,A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.,S5,E10,"8,0","4,9 k","jeu., 17 déc. 1998"
107, The One with All the Resolutions,The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Joey learns how to learn to play the guitar and Rachel decides not to gossip. Ross runs into trouble when he wears leather pants on a date.,S5,E11,"9,0","6,1 k","jeu., 7 janv. 1999"
108, The One with Chandler's Work Laugh,Monica becomes annoyed at how Chandler sucks up to his boss. Rachel tries to confront Monica about her relationship with Chandler. Ross hooks up with Janice when he finds out Emily is getting married.,S5,E12,"8,1","4,8 k","jeu., 21 janv. 1999"
109, The One with Joey's Bag,"Phoebe's grandmother dies, and Phoebe is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages.",S5,E13,"7,9","4,8 k","jeu., 4 févr. 1999"
110, The One Where Everybody Finds Out,"When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship.",S5,E14,"9,7",13 k,"jeu., 11 févr. 1999"
111, The One with the Girl Who Hits Joey,Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.,S5,E15,"8,4","5,1 k","jeu., 18 févr. 1999"
112, The One with the Cop,"Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk, and Ross tries to get his new sofa into his apartment.",S5,E16,"8,5","5,3 k","jeu., 25 févr. 1999"
113, The One with Rachel's Inadvertent Kiss,Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.,S5,E17,"8,3","4,9 k","jeu., 18 mars 1999"
114, The One Where Rachel Smokes,"Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.",S5,E18,"7,8","4,8 k","jeu., 8 avr. 1999"
115, The One Where Ross Can't Flirt,"As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced.",S5,E19,"8,6","5,2 k","jeu., 22 avr. 1999"
116, The One with the Ride Along,The guys go on a ride-along with Gary where Ross thinks Joey saved his life which angers Chandler because he thinks Joey chose Ross over him. Rachel accidentally deletes a message from Emily on Ross's answering machine.,S5,E20,"8,1","4,7 k","jeu., 29 avr. 1999"
117, The One with the Ball,"Gary asks Phoebe to move in with him but she's reluctant. To overcome boredom, Ross and Joey start endlessly throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.",S5,E21,"8,3","4,9 k","jeu., 6 mai 1999"
118, The One with Joey's Big Break,"Joey drives to Las Vegas to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross, but doesn't know why.",S5,E22,"8,1","4,7 k","mar., 11 mai 1999"
119, The One in Vegas: Part 1,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.,S5,E23,"8,6","5,3 k","mer., 3 nov. 1999"
120, The One in Vegas: Part 2,Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.,S5,E24,"9,0",6 k,"mer., 10 nov. 1999"
121, The One After Vegas,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.,S6,E1,"8,6","5,2 k","jeu., 23 sept. 1999"
122, The One Where Ross Hugs Rachel,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.,S6,E2,"8,0","4,7 k","jeu., 30 sept. 1999"
123, The One with Ross's Denial,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.,S6,E3,"8,0","4,6 k","jeu., 7 oct. 1999"
124, The One Where Joey Loses His Insurance,"Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students, he puts on a fake English accent.",S6,E4,"8,3","4,9 k","jeu., 14 oct. 1999"
125, The One with Joey's Porsche,"Ross and Rachel try to get an annulment, Joey finds the keys to a porsche in Central Perk, and Phoebe, Monica and Chandler babysit the triplets.",S6,E5,"8,0","4,7 k","jeu., 21 oct. 1999"
126, The One on the Last Night,"On the last night before Chandler and Monica move in together, Monica and Rachel argue, and Chandler tries to give Joey money to help him pay the bills.",S6,E6,"8,4","4,8 k","jeu., 4 nov. 1999"
127, The One Where Phoebe Runs,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.,S6,E7,"8,2","4,8 k","jeu., 11 nov. 1999"
128, The One with Ross' Teeth,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.,S6,E8,"8,3",5 k,"jeu., 18 nov. 1999"
129, The One Where Ross Got High,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.,S6,E9,"9,1","6,8 k","jeu., 25 nov. 1999"
130, The One with the Routine,"On the set of ""Dick Clark's New Year's Rockin' Eve"", Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas presents.",S6,E10,"8,5","5,2 k","jeu., 16 déc. 1999"
131, The One with the Apothecary Table,"Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile, Rachel buys an apothecary table from a store that Phoebe hates.",S6,E11,"7,9","4,7 k","jeu., 6 janv. 2000"
132, The One with the Joke,"Chandler and Ross argue over a joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk, and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend.",S6,E12,"7,8","4,6 k","jeu., 13 janv. 2000"
133, The One with Rachel's Sister,"Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile, Monica won't admit that she is sick.",S6,E13,"8,0","4,8 k","jeu., 3 févr. 2000"
134, The One Where Chandler Can't Cry,"Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry, Monica tries to make it happen. The gang discovers that Phoebe's sister, Ursula, is a porn star and is using Phoebe's name.",S6,E14,"8,4","4,8 k","jeu., 10 févr. 2000"
135, The One That Could Have Been: Part 1,Barry and Mindy's impending divorce prompts the gang to fantasize about what their lives might be like if they'd all taken different courses.,S6,E15,"8,3",5 k,"jeu., 17 févr. 2000"
136, The One That Could Have Been: Part 2,The gang continue to think about how different their lives could have been.,S6,E16,"8,3","4,9 k","jeu., 17 févr. 2000"
137, The One with Unagi,Rachel and Phoebe take self-defense classes. Chandler and Monica agree to give each other homemade presents for Valentine's Day. Joey tries to get money through medical research.,S6,E17,"8,9","6,6 k","jeu., 24 févr. 2000"
138, The One Where Ross Dates a Student,Ross jeopardizes his career when he starts dating a student from one of his palaeontology classes. Rachel and Phoebe's apartment catches fire.,S6,E18,"8,1","4,7 k","jeu., 9 mars 2000"
139, The One with Joey's Fridge,Joey tries to get everyone to pay for his broken fridge. Ross becomes paranoid when Elizabeth makes plans for spring break. Monica and Chandler compete against Phoebe to find Rachel a date.,S6,E19,"8,1","4,7 k","jeu., 23 mars 2000"
140, The One with Mac and C.H.E.E.S.E.,Chandler forgets to write down a message for Joey when the time of his audition for the lead in a TV show is changed.,S6,E20,"7,1",5 k,"jeu., 13 avr. 2000"
141, The One Where Ross Meets Elizabeth's Dad,"Elizabeth's father takes an instant disliking to Ross. Joey almost gets fired from ""Mac and C.H.E.E.S.E."" after offending the operator of the robot. Phoebe writes a book based on Monica and Chandler.",S6,E21,"8,5",5 k,"jeu., 27 avr. 2000"
142, The One Where Paul's the Man,Paul threatens to have Ross fired from the university if he continues to date Elizabeth. The girls put their names down on a waiting list for a wedding venue and Joey tries to get his acting headshot onto the wall of a local laundromat.,S6,E22,"8,9","5,7 k","jeu., 4 mai 2000"
143, The One with the Ring,Chandler and Phoebe go looking for an engagement ring for Monica. Rachel tries to get Paul to open up to her.,S6,E23,"8,4","4,8 k","jeu., 11 mai 2000"
144, The One with the Proposal: Part 1,Chandler's plan to propose to Monica at dinner is interrupted by Richard. Joey accidentally buys a boat at a silent auction. Ross and Elizabeth's relationship comes to a crossroad.,S6,E24,"8,6",5 k,"jeu., 18 mai 2000"
145, The One with the Proposal: Part 2,"Chandler continues to pretend to hate the idea of marriage, unaware Richard wants Monica back. Meanwhile, Rachel and Phoebe discuss their 'back-up' plans.",S6,E25,"9,2","6,8 k","jeu., 18 mai 2000"
